,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20210316000546,Y,00120076,LX인터내셔널,보통주,㈜LG ,본인,"9,571,336",24.69,"9,571,336",24.69,-
1,20210316000546,Y,00120076,LX인터내셔널,보통주,구경미,특수관계인,"56,963",0.15,"56,963",0.15,-
2,20210316000546,Y,00120076,LX인터내셔널,보통주,구본걸,특수관계인,"543,545",1.40,"543,545",1.40,-
3,20210316000546,Y,00120076,LX인터내셔널,보통주,LG연암학원,특수관계인,"17,046",0.04,"17,046",0.04,-
4,20210316000546,Y,00120076,LX인터내셔널,보통주,윤춘성,등기임원,"3,155",0.01,"6,855",0.02,장내매수
5,20210316000546,Y,00120076,LX인터내셔널,보통주,계,,"10,192,045",26.30,"10,195,745",26.30,-
6,20210316000546,Y,00120076,LX인터내셔널,-,계,,-,-,-,-,-
