,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20220217001036,Y,00164742,현대자동차,의결권 있는 주식,현대모비스,본인,"45,782,023",21.43,"45,782,023",21.43,-
1,20220217001036,Y,00164742,현대자동차,의결권 없는 주식,이원희,계열회사 임원,"9,302",0.01,0,0.00,등기임원 사임
2,20220217001036,Y,00164742,현대자동차,의결권 있는 주식,김상현,계열회사 임원,0,0.00,335,0.00,"신규선임 및
장내매수"
3,20220217001036,Y,00164742,현대자동차,의결권 있는 주식,정몽구,임원,"11,395,859",5.33,"11,395,859",5.33,-
4,20220217001036,Y,00164742,현대자동차,의결권 있는 주식,정성이,임원(정몽구)의 직계비속,"1,445",0.00,"1,445",0.00,-
5,20220217001036,Y,00164742,현대자동차,의결권 없는 주식,정성이,임원(정몽구)의 직계비속,398,0.00,398,0.00,-
6,20220217001036,Y,00164742,현대자동차,의결권 있는 주식,정명이,임원(정몽구)의 직계비속,"1,445",0.00,"1,445",0.00,-
7,20220217001036,Y,00164742,현대자동차,의결권 없는 주식,정명이,임원(정몽구)의 직계비속,398,0.00,398,0.00,-
8,20220217001036,Y,00164742,현대자동차,의결권 있는 주식,정의선,임원,"5,017,145",2.35,"5,598,478",2.62,장내매수
9,20220217001036,Y,00164742,현대자동차,의결권 없는 주식,정의선,임원,298,0.00,298,0.00,-
10,20220217001036,Y,00164742,현대자동차,의결권 있는 주식,이원희,계열회사 임원,592,0.00,0,0.00,등기임원 사임
11,20220217001036,Y,00164742,현대자동차,의결권 있는 주식,계,,"62,198,509",29.11,"62,779,585",29.38,-
12,20220217001036,Y,00164742,현대자동차,의결권 없는 주식,계,,"10,396",0.02,"1,094",0.00,-
