,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20230316000645,Y,00152729,광전자,보통주,나카지마히로카즈,본인,"9,876,678",17.05,"9,876,678",17.05,-
1,20230316000645,Y,00152729,광전자,보통주,(주)에이유이(AUE CORP.),특수관계인,"9,532,829",16.45,"9,532,829",16.45,-
2,20230316000645,Y,00152729,광전자,보통주,KODENSHI CORP.,특수관계인,"5,269,886",9.09,"5,269,886",9.09,-
3,20230316000645,Y,00152729,광전자,보통주,태화(주),특수관계인,"4,837,038",8.35,"4,837,038",8.35,-
4,20230316000645,Y,00152729,광전자,보통주,장미애,특수관계인,"1,360,235",2.35,"1,360,235",2.35,-
5,20230316000645,Y,00152729,광전자,보통주,(주)에이유에스(AUS CORP.),특수관계인,"600,000",1.04,"600,000",1.04,-
6,20230316000645,Y,00152729,광전자,보통주,나카지마나에,특수관계인,"530,438",0.92,"530,438",0.92,-
7,20230316000645,Y,00152729,광전자,보통주,나카지마마사키,특수관계인,"141,125",0.24,"141,125",0.24,-
8,20230316000645,Y,00152729,광전자,보통주,계,,"32,148,229",55.48,"32,148,229",55.48,-
9,20230316000645,Y,00152729,광전자,기타,계,,-,-,-,-,-
