,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20210318000961,Y,01009789,코스맥스,보통주,코스맥스비티아이,최대주주,"2,636,557",26.24,"2,636,557",26.24,-
1,20210318000961,Y,01009789,코스맥스,보통주,이경수,임원,0,0.00,107,0.00,-
2,20210318000961,Y,01009789,코스맥스,보통주,이병만,임원,0,0.00,63,0.00,-
3,20210318000961,Y,01009789,코스맥스,보통주,최경,임원,"24,886",0.25,"24,886",0.25,-
4,20210318000961,Y,01009789,코스맥스,보통주,김재천,임원,"4,410",0.04,"4,491",0.04,-
5,20210318000961,Y,01009789,코스맥스,보통주,유석민,계열회사임원,"1,290",0.01,0,0.00,특수관계 해소
6,20210318000961,Y,01009789,코스맥스,보통주,김철희,계열회사임원,"1,000",0.01,"1,048",0.01,-
7,20210318000961,Y,01009789,코스맥스,보통주,이영하,계열회사임원,"1,000",0.01,"1,000",0.01,-
8,20210318000961,Y,01009789,코스맥스,보통주,장태영,계열회사임원,540,0.01,40,0.00,-
9,20210318000961,Y,01009789,코스맥스,보통주,계,,"2,669,683",26.57,"2,668,192",26.55,-
10,20210318000961,Y,01009789,코스맥스,우선주,계,,-,-,-,-,-
11,20210318000961,Y,01009789,코스맥스,기   타,계,,-,-,-,-,-
