,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20220323001246,K,00612294,피엔티,보통주,김준섭,본인,"3,710,000",16.52,"3,710,000",16.31,-
1,20220323001246,K,00612294,피엔티,보통주,제갈환,임원,"64,000",0.28,"64,000",0.28,-
2,20220323001246,K,00612294,피엔티,보좉주,이주헌,임원,"58,000",0.26,"58,000",0.26,-
3,20220323001246,K,00612294,피엔티,보통주,계,,"3,832,000",17.06,"3,832,000",16.85,-
4,20220323001246,K,00612294,피엔티,우선주,계,,-,-,-,-,-
