,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20230316000733,Y,00115384,동방아그로,보통주,염병만,최대주주,"2,547,250",18.71,"2,547,250",18.71,-
1,20230316000733,Y,00115384,동방아그로,보통주,염병진,친인척,"1,531,495",11.25,"1,531,495",11.25,-
2,20230316000733,Y,00115384,동방아그로,보통주,염병춘,친인척,"579,430",4.25,"579,430",4.25,-
3,20230316000733,Y,00115384,동방아그로,보통주,유병두,이사,"7,174",0.05,"7,174",0.05,-
4,20230316000733,Y,00115384,동방아그로,보통주,계,,"4,665,349",34.26,"4,665,349",34.26,-
5,20230316000733,Y,00115384,동방아그로,우선주,계,,0,0.00,0,0.00,-
