,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,(주)웅진씽크빅,최대주주 본인,"18,511,446",25.08,0,0.00,최대주주 변경
1,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,김정민,계열회사 임원,0,0.00,84,0.00,장내매수
2,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,넷마블(주),최대주주 본인,0,0.00,"18,511,446",25.08,최대주주 변경
3,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,신현웅,특수관계인,"1,039",0.00,0,0.00,최대주주 변경
4,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,김종배,발행회사 임원,70,0.00,0,0.00,임원 퇴임
5,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,이선용,발행회사 임원,650,0.00,0,0.00,임원 퇴임
6,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,강영섭,발행회사 임원,370,0.00,370,0.00,-
7,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,정준호,발행회사 임원,70,0.00,70,0.02,"주식매수선택권 행사(+16,820주),장내매도 (-16,820주)"
8,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,윤규선,발행회사 임원,0,0.00,"10,000",0.01,주식매수선택권 행사
9,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,이지훈,발행회사 임원,0,0.00,"10,524",0.01,주식매수선택권 행사
10,20210323000600,Y,00170558,코웨이,의결권 있는 보통주,계,,"18,513,645",25.09,"18,532,494",25.11,-
11,20210323000600,Y,00170558,코웨이,의결권 없는 보통주,계,,-,-,-,-,-
