,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20230321001375,Y,00126201,삼성공조,보통주,고 호 곤,본인,"2,822,219",34.73,"2,822,219",34.73,-
1,20230321001375,Y,00126201,삼성공조,보통주,(재)고산장학회,출연재단,0,0.00,"22,340",0.27,수증
2,20230321001375,Y,00126201,삼성공조,보통주,고 태 일,직계비속,"1,106,763",13.62,"1,106,763",13.62,-
3,20230321001375,Y,00126201,삼성공조,보통주,이 순 옥,배우자,"32,970",0.40,"32,970",0.40,-
4,20230321001375,Y,00126201,삼성공조,보통주,김 형 국,친인척,"72,000",0.89,"72,000",0.89,-
5,20230321001375,Y,00126201,삼성공조,보통주,이 성 근,친인척,"71,500",0.88,"71,500",0.88,-
6,20230321001375,Y,00126201,삼성공조,보통주,고 재 곤,친인척,120,0.00,120,0.00,-
7,20230321001375,Y,00126201,삼성공조,보통주,에스에스유통,계열회사,"9,388",0.12,"9,388",0.12,-
8,20230321001375,Y,00126201,삼성공조,보통주,사회복지법인고산,출연재단,"50,000",0.62,"50,000",0.62,-
9,20230321001375,Y,00126201,삼성공조,보통주,이 재 곤,친인척,"22,340",0.27,0,0.00,증여
10,20230321001375,Y,00126201,삼성공조,보통주,계,,"4,187,300",51.53,"4,187,300",51.53,-
11,20230321001375,Y,00126201,삼성공조,-,계,,-,-,-,-,-
