,rcept_no,corp_cls,corp_code,corp_name,nm,sexdstn,birth_ym,ofcps,rgist_exctv_at,fte_at,chrg_job,main_career,mxmm_shrholdr_relate,hffc_pd,tenure_end_on
0,20210317001064,Y,00162993,한일홀딩스,허기호,남,1966년 11월,대표이사 회장,등기임원,상근,경영총괄,"성균관대학교 경제학과 졸업
 美 Thunderbird MBA
 한일시멘트㈜ 대표이사 회장
現) 한일현대시멘트㈜ 회장",본인,23년 11개월,2021년 03월 14일
1,20210317001064,Y,00162993,한일홀딩스,김용식,남,1954년 03월,상근감사,등기임원,상근,감사,"성균관대학교 통계학과 졸업
숭실대학교 IT정책경영학 박사
쌍용양회공업(주) 대표이사 사장",-,1년 10개월,2022년 03월 14일
2,20210317001064,Y,00162993,한일홀딩스,전근식,남,1965년 07월,대표이사 부사장,등기임원,상근,경영총괄,"한양대학교 자원공학과 졸업 
한일시멘트㈜ 경영본부장 
한일현대시멘트㈜ 부사장
現) 한일시멘트㈜ 대표이사 겸 생산부문장 부사장
現) 한일현대시멘트㈜ 생산부문장 부사장",　-,2년 6개월,2022년 03월 24일
3,20210317001064,Y,00162993,한일홀딩스,박진규,남,1966년 06월,상무,등기임원,상근,"전략기획,ITS","고려대학교 서어서문학과 졸업
 한일시멘트㈜ 총무/홍보/자재 상무보
 現) 한일시멘트㈜ 경영관리 담당 상무
 現) 한일현대시멘트㈜ 경영관리 담당 상무 ",　-,1년 10개월,2021년 03월 14일
4,20210317001064,Y,00162993,한일홀딩스,강대석,남,1958년 06월,사외이사,등기임원,비상근,-,"서울대학교 경영학과 졸업
 신한금융투자㈜ 대표이사 사장
 신한금융투자㈜ 고문",　-,2년 10개월,2021년 03월 14일
5,20210317001064,Y,00162993,한일홀딩스,최인철,남,1967년 12월,사외이사,등기임원,비상근,-,"서울대학교 심리학과 졸업
 University of Michigan 심리학 박사
 現) 서울대학교 심리학과 교수",　-,2년 10개월,2021년 03월 14일
6,20210317001064,Y,00162993,한일홀딩스,허정섭,남,1939년 06월,명예회장,미등기임원,상근,경영자문,"한국외국어대학교 영어영문학과 졸업
 한일시멘트㈜ 회장", 친족 ,17년 10개월,-
7,20210317001064,Y,00162993,한일홀딩스,조성회,남,1965년 02월,상무,미등기임원,상근,"컴플라이언스,홍보,
 총무인사","성균관대학교 법학과 졸업
 한일시멘트㈜ 부산영업본부장
 現) 하늘목장(주) 대표이사 전무 
 現) 한일시멘트㈜ 총무인사 담당 상무",-,1년 1개월,-
8,20210317001064,Y,00162993,한일홀딩스,선영현,남,1969년 06월,이사대우,미등기임원,상근,총무인사팀장,"중앙대학교 무역학과 졸업
 한일현대시멘트(주) 총무인사팀장 
 現) 한일시멘트㈜ 총무인사팀장 이사대우",-,2개월,-
9,20210317001064,Y,00162993,한일홀딩스,신준,남,1969년 03월,이사대우,미등기임원,상근,"재무,회계,내부회계","중앙대학교 경영학과 졸업
 한일시멘트㈜ 재무팀장 겸 
 한일홀딩스㈜ 재무팀장
 現) 한일시멘트㈜ 재무/회계/내부회계 담당 이사대우",-,2개월,-
