,corp_name,nm,sexdstn,birth_ym,ofcps,rgist_exctv_at,fte_at,chrg_job,main_career,mxmm_shrholdr_relate,hffc_pd,tenure_end_on
0,헬릭스미스,김선영,남,1955년 11월,대표이사,사내이사,상근,"이사회 의장/
임상총괄","현 ㈜헬릭스미스 대표이사
(1996~현재) ㈜헬릭스미스 설립자, 대표이사
(1992~2018) 서울대학교 생명과학부 교수
(2010~2011) 지식경제부 R&D 전략기획단, 융합신산업팀 MD
(1978~1986) 서울대학교 학사, MIT 석사, 하버드대학교 석사, 옥스퍼드 대학교 박사",본인,17년 9개월,2023년 03월 30일
1,헬릭스미스,유승신,여,1966년 04월,대표이사,사내이사,상근,R&D총괄,"현 ㈜헬릭스미스 대표이사
(1997~현재) ㈜헬릭스미스 연구원, 연구소장, 상무, 사장
(2005~2008) Takara Bio Inc. 부장
(1995~1997) Whitehead Institute, MIT, 박사 후 연구원
(1984~1995) 서울대학교 학사, 석사, 박사",임원,14년 9개월,2023년 03월 30일
2,헬릭스미스,박원호,남,1958년 12월,사장,미등기,상근,경영관리 총괄,"현 ㈜헬릭스미스 사장(2021.04~07) ㈜헬릭스미스 부사장(2013~2018) ㈜인팩 전무 (인팩멕시코 법인장)(2010~2013) ㈜현대제철
(1985~2009) ㈜ 현대자동차 (구매, 그룹감사실)",임원,1년 8개월,-
3,헬릭스미스,최동규,남,1959년 04월,사내이사,사내이사,비상근,사내이사,"(2017~2021) 특허법인(유)화우 대표변리사
(2015~2017) 특허청장
(2013~2014) 산업통상자원부 자유무역협정정책관
(2011~2013) 외교통상부 FTA국장
(1984~1990) 서울대학교 행정학 석사
(1979~1983) 서울대학교 법학과 ",임원,1년 5개월,2024년 07월 15일
4,헬릭스미스,김훈식,남,1962년 01월,사내이사,사내이사,비상근,사내이사,"(2019~현재) 유티씨인베스트먼트㈜ 고문
(2017~현재) 한국기술가치평가협의회 회장
(2016~2019) 대상홀딩스(주) 대표(유티씨인베스트먼트 대표 겸임)
(2003~2018) 유티씨인베스트먼트(주) 대표
(1980~1986) 고려대학교 경제학과 학사, 석사",임원,1년 5개월,2024년 07월 15일
5,헬릭스미스,박재석,남,1965년 08월,사내이사,사내이사,비상근,사내이사,"(2017~2020) 한화에이스 기업인수목적(SPAC)4호(코스닥 상장) 대표이사
(2015~현재) HR자산운용 고문
(2014~2015) 네시삼십삼분 부사장/CFO
(2001~2014) 삼성증권 리서치센터 이사
(1994) 미국 공인회계사(메릴랜드주) 취득",임원,9개월,2025년 03월 30일
6,헬릭스미스,노대래,남,1956년 02월,사외이사,사외이사,비상근,자문 및 감사위원,"(2017~현재) 법무법인(유) 세종 고문
(2015~2020) 성균관대학교 국정전문대학원 석좌교수(前)
(1980) 서울대 행정대학원 행정학 석사
(1978) 서울대 법학과 학사",사외이사,5년 8개월,2023년 03월 30일
7,헬릭스미스,오재승,남,1977년 02월,사외이사,사외이사,비상근,자문 및 감사위원,"(2015~현재) 쿼드자산운용(주) 경영전략본부 경영관리팀 / 이사(2003~2015) 삼일회계법인 Manager, Senior Manager(2014~2016) KDI 국제정책대학원 MPP 석사
(1996~2003) 고려대학교 경영학과",사외이사,2년 9개월,2023년 03월 30일
8,헬릭스미스,"Chas
Bountra",남,1960년 08월,사외이사,사외이사,비상근,자문 및 감사위원,"(2008~현재) 옥스퍼드 대학교 교수 (임상의학과, 중개의학 교수)(2018~현재) Vice Chancellor for Innovation (혁신 부총장)(1988~2007) Glaxo, GSK 
(1985~2007) Research Fellow → Group Leader → Deputy Head (Neuroscience) 
                    → Director (Pain Research) → Vice President (Biology)
(1979~1982) Biochemistry and Physiology,  Kings College, University of London",사외이사,2년 9개월,2023년 03월 30일
