,rcept_no,corp_cls,corp_code,corp_name,nm,sexdstn,birth_ym,ofcps,rgist_exctv_at,fte_at,chrg_job,main_career,mxmm_shrholdr_relate,hffc_pd,tenure_end_on
0,20220615000399,Y,00136721,신영증권,원종석,남,1961년 10월,회장,사내이사,상근,대표이사,"중앙대학교
 신영증권 사장
신영증권 부회장",친인척발행회사임원,1998.05 ~,2022년 06월 06일
1,20220615000399,Y,00136721,신영증권,위성승,남,1963년 10월,전무,미등기,상근,감사총괄,"서울대학교 사회교육학
 밴더빌트대 경제학 석사",-,-,-
2,20220615000399,Y,00136721,신영증권,은활,남,1967년 02월,전무,미등기,상근,IB영업 담당임원,"아주대학교 경영학
 신영증권 구조화금융본부장
  신영증권 종합금융본부장",-,-,-
3,20220615000399,Y,00136721,신영증권,이승환,남,1967년 05월,전무,미등기,상근,"IT센터/Operation본부/ 
 Intelligence전략 총괄본부장","성균관대학교 산업심리학
 신영증권 PI 담당임원
 신영증권 리스크관리 담당임원/CRO
 신영증권 리스크관리/기업문화본부장 및 CRO",-,-,-
4,20220615000399,Y,00136721,신영증권,정하재,남,1968년 06월,전무,미등기,상근,-,"서강대학교 경영학
 신영증권 IT센터 본부장
 신영증권 상품전략본부장
 신영증권 개인고객사업본부장",-,-,-
5,20220615000399,Y,00136721,신영증권,정헌기,남,1969년 10월,전무,미등기,상근,"Structured Products/FICC본부
총괄본부장","연세대학교 경영학
 신영증권 FICC Trading본부장
 신영증권 FICC본부장",-,-,-
6,20220615000399,Y,00136721,신영증권,고성원,남,1972년 08월,상무,미등기,상근,"글로벌마켓
담당임원","고려대학교 경영학
 고려대학교 경영학 석사
 국민연금 기금운용본부 뉴욕사무소장
 메리츠증권 글로벌마켓 담당임원",-,2021.04 ~,2022년 03월 31일
7,20220615000399,Y,00136721,신영증권,김동준,남,1969년 03월,상무,미등기,상근,감사 담당임원,"중앙대학교 경제학
 서강대학교 정보통신 석사
 신영증권 브랜드전략/사옥 브랜드 컨설팅 TF 담당임원
 신영증권 브랜드전략/인사 담당임원
 신영증권 결제업무/경영기획/브랜드전략/인사 담당임원
 신영증권 Operation본부장
 신영증권 미래금융/디지털결제 담당임원",-,-,-
8,20220615000399,Y,00136721,신영증권,명창길,남,1969년 01월,상무,미등기,상근,기업금융본부장,연세대학교 전산학,-,-,-
9,20220615000399,Y,00136721,신영증권,박재우,남,1968년 12월,상무,미등기,상근,IB영업 담당임원,"연세대학교 신문방송학 
 존스홉킨스대학교 국제관계학
 투자금융본부장",-,-,-
10,20220615000399,Y,00136721,신영증권,배준성,남,1973년 12월,상무,미등기,상근,구조화금융본부장,"영남대학교 경제학
 신영증권 구조화금융 담당임원",-,-,-
11,20220615000399,Y,00136721,신영증권,황성엽,남,1963년 07월,사장,사내이사,상근,대표이사,"서울대학교
 일리노이주립대 MSF
신영증권 IB부문장
신영증권 부사장",발행회사임원,2005.02 ~,2023년 06월 18일
12,20220615000399,Y,00136721,신영증권,신혁진,남,1970년 02월,상무,미등기,상근,CM본부장,"연세대학교 응용통계학
 신영증권 Credit Market부장
 신영증권 Credit Market 담당임원",-,2018.04 ~,2022년 03월 31일
13,20220615000399,Y,00136721,신영증권,원창선,남,1968년 09월,상무,미등기,상근,IT센터 본부장,"한국외국어대학교 전자계산학
 신영증권 IT기획팀장",-,2017.04 ~,2022년 03월 31일
14,20220615000399,Y,00136721,신영증권,이시복,남,1968년 03월,상무,미등기,상근,준법감시인,"동아대학교 경영학
 한국외국어대학교 경영정보 석사
 신영증권 정보보호팀장
 신영증권 준법지원/정보보호팀장
 신영증권 준법지원/정보보호 담당임원",-,2019.04 ~,2023년 03월 31일
15,20220615000399,Y,00136721,신영증권,천신영,남,1973년 02월,상무,미등기,상근,Operation본부장," 연세대학교 경제학
 신영증권 Structured Products부장
 신영증권 Equity파생운용 담당임원
 신영증권 Equity파생운용/SP Sales 담당임원
 신영증권 Equity파생운용/파생전략운용/SP Sales 담당임원
 신영증권 Structured Products본부장",-,2017.04 ~,2022년 03월 31일
16,20220615000399,Y,00136721,신영증권,최정우,남,1971년 12월,상무,미등기,상근,APEX패밀리오피스본부장,"연세대학교 기계설계학
 코넬대 MBA
 City Private Bank 싱가폴 SVP
 한국씨티은행 투자상품부 부장",-,2022.03~,2023년 03월 31일
17,20220615000399,Y,00136721,신영증권,허도웅,남,1968년 01월,상무,미등기,상근,"APEX영업부
영업 담당임원","연세대학교 경영학
 신영증권 반포지점장
 신영증권 반포 담당임원
 신영증권 명동/반포 담당임원
 신영증권 반포/압구정 담당임원
 신영증권 반포/대전 담당임원
 신영증권 반포 담당임원",-,2017.04 ~,2022년 03월 31일
18,20220615000399,Y,00136721,신영증권,현원식,남,1971년 04월,상무,미등기,상근,APEX패밀리오피스영업 담당임원,"고려대학교 경영학
 신영증권 법인주식영업부
 신영증권 법인주식영업 담당임원
 신영증권 법인영업본부장",-,2017.04 ~,2022년 03월 31일
19,20220615000399,Y,00136721,신영증권,김학균,남,1970년 05월,이사,미등기,상근,리서치센터장,"성균관대학교 경제학
 미래에셋대우 리서치센터 수석연구위원
 신영증권 자산전략팀",-,2018.10 ~ ,2022년 03월 31일
20,20220615000399,Y,00136721,신영증권,손민기,남,1966년 12월,이사,미등기,상근,재무관리/경영지원 담당임원,"국제대학교 경영학
 신영증권 경영지원팀장",-,2019.04 ~,2022년 03월 31일
21,20220615000399,Y,00136721,신영증권,신영수,남,1969년 04월,이사,미등기,상근,법인영업본부장,"서울대학교 국사학
 신영증권 금융자산영업부장
 신영증권 CIS 담당임원
 신영증권 PI 담당임원",-,2021.07 ~,2022년 03월 31일
22,20220615000399,Y,00136721,신영증권,장세양,남,1958년 04월,이사,사외이사,비상근,"감사위원
(임원후보추천위원,
보수위원)","성균관대학교
 신영증권 부사장",발행회사임원,2018.06 ~,2022년 06월 18일
23,20220615000399,Y,00136721,신영증권,오영표,남,1975년 01월,이사,미등기,상근,"패밀리헤리티지
본부장","성균관대학교 경영학
 성균관대학교 법학 박사
 신영증권 신탁부장
 신영증권 신탁사업 담당임원",-,2018.04 ~,2022년 03월 31일
24,20220615000399,Y,00136721,신영증권,왕운식,남,1968년 07월,이사,미등기,상근,APEX명동 담당임원,"인하대학교 경영학
 신영증권 압구정지점
 신영증권 압구정 담당임원
 신영증권 광주/압구정 담당임원
 신영증권 대치/광주 담당임원",-,2017.04 ~,2022년 03월 31일
25,20220615000399,Y,00136721,신영증권,이용규,남,1972년 11월,이사,미등기,상근,"채권운용 운용
담당임원","연세대학교 경영학
 신영증권 채권운용부장
 신영증권 채권운용 담당임원",-,2018.04 ~,2022년 03월 31일
26,20220615000399,Y,00136721,신영증권,이중인,남,1969년 12월,이사,미등기,상근,FSS 담당임원," 고려대학교 경영학
 신영증권 기업금융부
 신영증권 기업금융 담당임원",-,2017.04 ~,2022년 03월 31일
27,20220615000399,Y,00136721,신영증권,임동욱,남,1976년 04월,이사,미등기,상근,"APEX대치/APEX프라이빗클럽청담
담당임원"," 한양대학교 독어독문학
 신영증권 대치지점
 신영증권 명동지점
 신영증권 명동 담당임원
 신영증권 APEX패밀리오피스 담당임원",-,2017.04 ~,2022년 03월 31일
28,20220615000399,Y,00136721,신영증권,임재경,남,1967년 09월,이사,미등기,상근,"APEX영업부
영업 담당임원","성균관대학교 행정학
 신영증권 부천지점장
 신영증권 대치/분당 담당임원
 신영증권 영업부/연금컨설팅 담당임원
 신영증권 영업부/연금컨설팅/고객컨설팅 담당임원",-,2021.07 ~,2022년 03월 31일
29,20220615000399,Y,00136721,신영증권,전윤구,남,1974년 02월,이사,미등기,상근,FICC본부장,"서울대학교 수학
 서울대학교 금융수학 석사
 신영증권 FICC파생운용부장
 신영증권 FICC파생운용 담당임원",-,2018.04 ~,2022년 03월 31일
30,20220615000399,Y,00136721,신영증권,정성진,남,1974년 11월,이사,미등기,상근,ECM본부장,"서울시립대학교 경영학
 신영증권 기업금융부
 신영증권 ECM부 담당임원",-,2021.07 ~,2022년 03월 31일
31,20220615000399,Y,00136721,신영증권,정재은,여,1979년 08월,이사,미등기,상근,"Intelligence전략
/법무 담당임원","서울대학교 외교
 고려대학교 금융법학 석사
 신영증권 SP Sales부
 신영증권 Intelligence전략 담당임원
 신영증권 인사/Intelligence전략 담당임원
 신영증권 Intelligence전략 담당임원",-,2020.04 ~,2022년 03월 31일
32,20220615000399,Y,00136721,신영증권,정종희,남,1971년 11월,이사,미등기,상근,"APEX패밀리오피스
영업 담당임원","중앙대학교 경영학
 중앙대학교 경영학 석사
 신영증권 APEX패밀리오피스부장
 신영증권 APEX패밀리오피스 담당임원",-,2021.07 ~,2022년 03월 31일
33,20220615000399,Y,00136721,신영증권,강석훈,남,1964년 08월,이사,사외이사,비상근,"감사위원
(임원후보추천위원,
위험관리위원)","서울대학교
 성신여대 경제학 교수",발행회사임원,2021.06 ~,2023년 06월 24일
34,20220615000399,Y,00136721,신영증권,윤재섭,남,1969년 03월,이사대우,미등기,상근,"금융소비자보호
총괄책임자","인하대학교 불어불문학
 헤럴드경제 산업투자섹션 부장
 헤럴드경제 IB금융섹션 부장
 신영증권 브랜드전략 담당임원",-,2021.10 ~,2022년 03월 31일
35,20220615000399,Y,00136721,신영증권,이동규,남,1976년 02월,이사대우,미등기,상근,위험관리책임자,"경희대학교 건축공학
 한양대학교 도시경영학 석사
 신영증권 리스크관리팀장
 신영증권 리스크심사팀장",-,2021.03 ~,2023년 03월 31일
36,20220615000399,Y,00136721,신영증권,고봉찬,남,1962년 10월,이사,사외이사,비상근,"감사위원
(위험관리위원,
보수위원)","서울대학교
한국증권학회 회장
서울대 경영대학 교수
현대백화점 사외이사",발행회사임원,2021.06 ~,2023년 06월 24일
37,20220615000399,Y,00136721,신영증권,금정호,남,1966년 01월,부사장 ,미등기,상근,IB 총괄본부장,"연세대학교 경영학
 연세대학교 경영학 석사
 신영증권 기업금융/구조화금융/투자금융본부장
 신영증권 기업금융/CM/구조화금융/종합금융/투자금융본부장
 신영증권 기업금융/CM/구조화금융/투자금융본부장",-,-,-
38,20220615000399,Y,00136721,신영증권,김대일,남,1968년 09월,전무,미등기,상근,"WM신사업/WM사업/APEX패밀리오피스/
 패밀리헤리티지
본부 총괄본부장","서울대학교 경영학
 일리노이주립대 MSF
 신영증권 Asset Allocation본부장
 신영증권 패밀리헤리티지/자산배분솔루션본부장
 신영증권 WM사업/APEX패밀리오피스/패밀리헤리티지본부 총괄본부장",-,-,-
39,20220615000399,Y,00136721,신영증권,김진우,남,1964년 10월,전무,미등기,상근,대체투자본부장,"고려대학교 경영학
 한국과학기술원 금융공학 석사
 군인공제회 대체투자본부장",-,2021.04 ~,2022년 03월 31일
40,20220615000399,Y,00136721,신영증권,박찬용,남,1968년 04월,전무,미등기,상근,"전략투자/법인영업본부/상품전략부
총괄본부장","서울대학교 경영학
 서울대학교 경영학 석사
 신영증권 전략투자본부장
 신영증권 전략투자/법인영업본부 총괄본부장",-,-,-
