,corp_name,nm,sexdstn,birth_ym,ofcps,rgist_exctv_at,fte_at,chrg_job,main_career,mxmm_shrholdr_relate,hffc_pd,tenure_end_on
0,깨끗한나라,최병민,남,1952년 03월,회장,미등기,상근,회장,"- 現 깨끗한나라 회장
- 現 제지자원진흥원 이사장
- 前 한국제지연합회 회장",특수관계인,2012.04.01~현재,-
1,깨끗한나라,이재선,남,1970년 02월,전무,미등기,상근,"Home&Life
사업부장","- 現 깨끗한나라 Home&Life 사업부장/전무
- 前 LG생활건강 The Face Shop/Avon 사업총괄/전무",-,2021.08.01~현재,-
2,깨끗한나라,박경환,남,1972년 04월,상무,미등기,상근,CHO,- 現 깨끗한나라 CHO,-,2020.12.01~현재,-
3,깨끗한나라,강희진,남,1968년 05월,상무,미등기,상근,청주공장 공장장,- 現 깨끗한나라 청주공장 공장장,-,2021.12.01~현재,-
4,깨끗한나라,신민수,남,1967년 10월,상무,미등기,상근,PS영업담당,"- 現 깨끗한나라 Paper Solution사업부 영업담당/상무
- 前 보노아 대표이사",-,2022.12.01~현재,-
5,깨끗한나라,최현수,여,1979년 05월,사장,사내이사,상근,"대표이사
(사업부, 경영관리)",- 現 깨끗한나라 대표이사,특수관계인,2014.01.01~현재,2024년 03월 25일
6,깨끗한나라,김민환,남,1960년 11월,부사장,사내이사,상근,"대표이사
(HR, 공장)","- 現 깨끗한나라 대표이사
- 前 LG화학 CHO·전무","특수관계인
(발행회사 임원)",2019.02.01~현재,2024년 03월 25일
7,깨끗한나라,최정규,남,1991년 06월,사내이사,사내이사,상근,사내이사,"- 現 깨끗한나라 사내이사
- 前 깨끗한나라 기타비상무이사",최대주주 본인,2020.03.27~현재,2025년 03월 25일
8,깨끗한나라,김영기,남,1970년 06월,사외이사,사외이사,비상근,경영자문,"- 現 법무법인 화우 / 파트너 변호사
- 前 광주지검 형사 제3부 부장검사
- 前 서울남부지검 증권범죄합동수사단장
- 前 대검찰청 공안3과장
- 前 서울서부지검 형사제5부 부장검사",-,2021.03.26~현재,2024년 03월 26일
9,깨끗한나라,조재원,남,1965년 07월,감사,감사,상근,감사,"- 現 깨끗한나라 감사
- 前 서브원 상무",-,2022.03.25~현재,2025년 03월 25일
10,깨끗한나라,최성,남,1970년 05월,전무,미등기,상근,CP&LO,"- 現 깨끗한나라 CP&LO
- 前 서브원 상무
(구매기획,영업,재경, 사업부 관리)",-,2022.03.25~현재*,-
11,깨끗한나라,박준성,남,1965년 12월,전무,미등기,상근,"Paper Solution
사업부장","- 現 깨끗한나라 Paper Solution 사업부장/전무
- 前 LG화학 상무",-,2019.08.01~현재,-
12,깨끗한나라,이동열,남,1964년 01월,전무,미등기,상근,CFO,"- 現 깨끗한나라 CFO
- 前 LG화학/LG디스플레이 상무",-,2022.03.01~현재,-
